web-scraper-order,web-scraper-start-url,link,link-href
"1717581727-75","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=24","Proteste der Landwirte: Brandenburgs Bauernpräsident fordert Entgegenkommen von Olaf Scholz","https://www.zeit.de/politik/deutschland/2024-01/landwirte-bauern-proteste-olaf-scholz-spd-subventionen-kuerzung"
"1717581727-76","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=24","Cottbus: Laute Bauernproteste empfangen Kanzler Scholz in Cottbus","https://www.zeit.de/politik/deutschland/2024-01/cottbus-bundeskanzler-olaf-scholz-db-werk-bauernproteste"
"1717581727-77","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=24","Glatteis: Eine Stadt rutscht aus","https://www.zeit.de/hamburg/2024-01/elbvertiefung-11-01-2024"
"1717581727-78","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=24","Rechtsextremismus: Treffen rechtsextremer Kreise in Potsdam alarmiert Parteien","https://www.zeit.de/politik/deutschland/2024-01/potsdam-treffen-rechtsextreme-afd-parteien-reaktionen"
"1717581727-79","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=24","Ampelkoalition: Gerät da was ins Rutschen?","https://www.zeit.de/2024/03/ampel-koalition-proteste-blockaden-vertrauen-rechtsextremismus"
"1717581727-80","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=24","Bauernproteste: So mächtig sind Deutschlands Bauern","https://www.zeit.de/wirtschaft/2024-01/bauernproteste-macht-landwirtschaft-agrarlobby-bundestag-bip"
"1717581730-81","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Bauernproteste: Diskursiver Murmeltiertag","https://www.zeit.de/kultur/2024-01/bauernproteste-agrarpolitik-subventionen-landwirtschaft"
"1717581730-82","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Rechtsextreme bei Bauernprotesten: ""Die wollen unser Land, um darauf Flüchtlingsunterkünfte zu bauen""","https://www.zeit.de/politik/deutschland/2024-01/rechtsextreme-bauernproteste-organisator-unterwanderung"
"1717581730-83","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Renate Künast: ""Da muss man schon Hornhaut auf der Seele haben""","https://www.zeit.de/politik/deutschland/2024-01/renate-kuenast-bauernproteste-landwirtschaft-tierhaltung"
"1717581730-84","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Bauern: Studie sieht drastischen Rückgang bei Zahl der Bauernhöfe bis 2040","https://www.zeit.de/wirtschaft/2024-01/bauern-landwirtschaft-branchenanalye-bauernproteste"
"1717581730-85","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Proteste gegen die Ampel: ""Das ganze Land muss den Schalter umlegen""","https://www.zeit.de/politik/2024-01/proteste-ampel-stimmung-politikpodcast"
"1717581730-86","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Bauernproteste: Lieber für Klimaschutz protestieren","https://www.zeit.de/wirtschaft/2024-01/bauernproteste-subventionen-klimaschutz-landwirtschaft"
"1717581730-87","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=23","Bauernproteste: Özdemir kritisiert Vorgängerin für Umgang mit Landwirten","https://www.zeit.de/politik/deutschland/2024-01/oezdemir-bauernproteste-landwirtschaft-kloeckner"
